pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,66,28.628,8.7632,0.0052,0,0,0.0753,0.0042,8.2209,0.0001,0.0574
0,67,30.3493,4.9705,0.0034,0,0,0.0489,0.0041,4.3294,0.0001,0.0596
0,68,32.1099,4.8632,0.0039,0,0.0001,0.0635,0.0029,4.2228,0.0001,0.0569
0,69,33.9025,5.1399,0.0033,0,0.0001,0.0445,0.0024,4.5761,0.0001,0.0658
0,70,35.7189,5.5844,0.0045,0,0.0001,0.056,0.0032,4.795,0.0002,0.0917
0,71,37.55,4.8973,0.0057,0,0.0001,0.0632,0.0035,4.3104,0.0001,0.0555
0,72,39.3859,4.7398,0.0047,0,0,0.0519,0.0028,4.1944,0.0001,0.0537
0,73,41.2159,4.9117,0.0045,0,0.0001,0.0486,0.0028,4.1825,0.0001,0.0645
0,74,43.0287,6.1273,0.0035,0,0,0.0475,0.0022,5.4222,0.0001,0.0734
0,75,44.8122,6.1099,0.0036,0,0,0.0492,0.0019,5.5293,0.0001,0.0757
0,76,46.5543,4.8717,0.0028,0,0,0.0329,0.0013,4.2684,0.0001,0.0561
0,77,48.2421,4.9313,0.0033,0,0,0.0365,0.0015,4.4083,0.0001,0.055
0,78,49.8629,5.2471,0.0042,0,0.0001,0.044,0.002,4.7373,0.0001,0.0514
0,79,51.4039,5.5497,0.0028,0,0,0.0289,0.0028,4.6154,0.0001,0.0592
0,80,52.8524,7.7184,0.0033,0,0.0001,0.0298,0.0014,7.2099,0,0.0522
0,81,54.1964,4.7875,0.0028,0,0.0001,0.0271,0.0013,4.3111,0,0.0497
0,82,55.424,5.0225,0.0025,0,0,0.0259,0.0012,4.4385,0.0001,0.0558
0,83,56.5243,4.7505,0.0038,0,0,0.0344,0.0021,4.2359,0.0001,0.0548
0,84,57.4875,4.7045,0.0033,0,0,0.0285,0.0014,4.1947,0.0001,0.0517
0,85,58.3045,4.6051,0.0027,0,0.0001,0.0278,0.0012,4.126,0,0.0507
0,86,58.9677,5.3921,0.0027,0,0,0.0256,0.0011,4.779,0.0003,0.0629
0,87,59.4707,5.0206,0.0035,0,0.0001,0.0321,0.0021,4.5324,0.0001,0.052
0,88,59.8088,4.7033,0.004,0,0.0001,0.0345,0.0017,4.1507,0.0001,0.0576
0,89,59.9787,5.2154,0.0043,0,0,0.0434,0.002,4.5653,0.0003,0.0633
0,90,59.9787,4.749,0.0058,0,0.0001,0.0407,0.0023,4.2308,0.0001,0.0552
0,91,59.8088,4.7992,0.0042,0,0,0.0419,0.0027,4.1205,0.0001,0.0748
0,92,59.4707,5.922,0.0031,0,0,0.0287,0.0018,5.334,0.0001,0.0559
0,93,58.9677,4.6092,0.0029,0,0.0001,0.0288,0.0019,4.121,0.0001,0.0519
0,94,58.3045,4.6348,0.0025,0,0.0001,0.0271,0.0017,4.1422,0.0001,0.0507
0,95,57.4875,4.5832,0.0027,0,0,0.0264,0.0013,4.0961,0.0001,0.0499
0,96,56.5243,4.9229,0.0027,0,0.0001,0.0284,0.0012,4.3402,0.0001,0.0565
0,97,55.424,4.5623,0.0036,0,0,0.033,0.0014,4.0584,0.0001,0.0593
0,98,54.1964,4.5604,0.0035,0,0.0001,0.0351,0.0014,4.0656,0,0.05
0,99,52.8524,4.8716,0.0041,0,0,0.0365,0.0015,4.2749,0.0001,0.0585
0,100,51.4039,4.5453,0.0037,0,0.0001,0.0333,0.0014,4.0413,0.0001,0.0606
0,101,49.8629,4.5649,0.0035,0,0.0001,0.0341,0.0013,4.0764,0.0001,0.049
0,102,48.2421,4.5079,0.0026,0,0,0.0336,0.001,4.0316,0.0001,0.0479
0,103,46.5543,4.9754,0.0041,0,0,0.0476,0.0014,4.3732,0.0001,0.0545
0,104,44.8122,5.4344,0.0035,0,0,0.0369,0.0013,4.717,0,0.0719
0,105,43.0287,6.7661,0.0037,0,0,0.0476,0.0022,6.0609,0,0.0689
0,106,41.2159,5.1751,0.0035,0,0,0.0457,0.0017,4.5711,0.0001,0.0583
0,107,39.3859,4.608,0.007,0,0.0001,0.0438,0.0019,4.0906,0.0001,0.0499
0,108,37.55,4.566,0.0034,0,0.0001,0.0408,0.0017,4.0681,0,0.0494
0,109,35.7189,4.7458,0.0028,0,0,0.0334,0.0016,4.1504,0.0001,0.0561
0,110,33.9025,4.6076,0.0027,0,0.0001,0.0418,0.0015,4.1126,0,0.0502
0,111,32.1099,4.5441,0.0025,0,0,0.0439,0.0014,4.0553,0,0.0478
0,112,30.3493,4.6542,0.0042,0,0,0.0584,0.0028,4.1055,0,0.054
0,113,28.628,5.0804,0.0041,0,0.0001,0.057,0.0018,4.4689,0.0001,0.0551
0,114,26.9524,8.7871,0.0036,0,0,0.0564,0.0032,8.0003,0.0001,0.1242
0,115,25.3279,9.1905,0.0027,0,0.0001,0.0562,0.0024,8.3376,0,0.1255
0,116,23.7592,9.7744,0.0036,0,0.0001,0.08,0.0037,9.1978,0.0001,0.094
