pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,45,6.12247,1440,21275,6816,1,0,10.874,0.0038,3.1056,1.949,0.2843,0.0295,4.1651,0.0019,0.3458
3,46,6.63765,1440,21275,6958,1,0,11.364,0.005,3.7551,1.8502,0.2489,0.0195,4.0369,0.0012,0.2042
3,47,7.19528,1440,21275,7100,1,0,9.4479,0.0033,2.5431,1.8963,0.2261,0.0113,4.0919,0.0002,0.1711
3,48,7.79802,1440,21275,7242,1,0,10.5454,0.0047,2.5419,1.8523,0.1887,0.0105,4.0769,0.0001,0.6783
3,49,8.44851,1440,21275,7384,1,0,5.5535,0.0052,0,0,0.2399,0.014,4.586,0.0001,0.1695
3,50,9.14942,1440,21275,7526,1,0,6.0159,0.0055,0,0.0001,0.2788,0.0142,4.5449,0.0001,0.1277
3,51,9.90332,1440,21275,7668,1,0,4.9889,0.0028,0,0.0001,0.1342,0.0067,4.2217,0.0002,0.141
3,52,10.7127,1440,21275,7810,1,0,4.9877,0.0045,0,0,0.1244,0.006,4.0398,0.0001,0.0983
3,53,11.58,1440,21275,7952,1,0,4.6089,0.0033,0,0.0001,0.1135,0.0054,3.9322,0.0001,0.0877
3,54,12.5074,1440,21275,8094,1,0,5.4046,0.0028,0,0,0.1014,0.0041,4.5307,0.0001,0.1006
3,55,13.4968,1440,21275,8236,1,0,4.8003,0.0028,0,0,0.0882,0.0039,3.9466,0,0.0912
3,56,14.5499,1440,21275,8378,1,0,4.6801,0.0027,0,0,0.0824,0.0033,4.0651,0,0.0861
3,57,15.6681,1440,21275,8520,1,0,4.8216,0.0025,0,0,0.074,0.0028,4.0224,0,0.0871
3,58,16.8523,1440,21275,8662,1,0,4.837,0.0024,0,0,0.0679,0.0027,4.0315,0,0.0847
3,59,18.103,1440,21275,8804,1,0,4.5206,0.0024,0,0,0.0628,0.0023,3.9545,0.0001,0.085
3,60,19.42,1440,21275,8946,1,0,4.6741,0.0023,0,0,0.0557,0.0021,3.9764,0,0.1265
3,61,20.8028,1440,21275,9088,1,0,4.6822,0.0029,0,0.0001,0.0584,0.0025,3.9088,0.0001,0.0855
3,62,22.2498,1440,21275,9230,1,0,4.773,0.0023,0,0,0.0494,0.002,3.9847,0.0001,0.0912
3,63,23.7592,1440,21275,9372,1,0,4.4709,0.0024,0,0.0001,0.0494,0.0018,3.9686,0,0.0481
3,64,25.3279,1440,21275,9514,1,0,4.7908,0.0023,0,0,0.0481,0.0016,4.0492,0.0001,0.0522
3,65,26.9524,1440,21275,9656,1,0,4.9582,0.0027,0,0,0.046,0.0017,3.9681,0.0001,0.0497
3,66,28.628,1440,21275,9798,1,0,4.4486,0.0026,0,0.0001,0.0427,0.002,3.9307,0,0.0491
3,67,30.3493,1440,21275,9940,1,0,4.5324,0.0027,0,0,0.0362,0.0014,4.0209,0,0.0488
3,68,32.1099,1440,21275,10082,1,0,4.6695,0.0024,0,0,0.0356,0.0014,3.9518,0.0001,0.0482
3,69,33.9025,1440,21275,10224,1,0,4.6823,0.0025,0,0,0.0401,0.0015,3.9522,0,0.0532
3,70,35.7189,1440,21275,10366,1,0,4.9309,0.0027,0,0,0.0307,0.0012,4.3242,0.0005,0.0679
3,71,37.55,1440,21275,10508,1,0,4.6527,0.0032,0,0,0.0383,0.0021,3.9276,0,0.0486
3,72,39.3859,1440,21275,10650,1,0,4.5499,0.0025,0,0.0001,0.0304,0.0013,4.061,0.0001,0.0473
3,73,41.2159,1440,21275,10792,1,0,4.7541,0.0023,0,0,0.0332,0.0011,4.0222,0.0001,0.0515
3,74,43.0287,1440,21275,10934,1,0,4.7702,0.0024,0,0,0.0297,0.0012,4.0405,0.0001,0.0481
3,75,44.8122,1440,21275,11076,1,0,4.7531,0.0023,0,0,0.0276,0.001,4.0157,0.0001,0.0554
3,76,46.5543,1440,21275,11218,1,0,4.6437,0.0031,0,0,0.0315,0.0017,4.1249,0.0002,0.0551
3,77,48.2421,1440,21275,11360,1,0,4.4562,0.0027,0,0,0.0299,0.0014,3.9481,0,0.049
3,78,49.8629,1440,21275,11502,1,0,5.0421,0.0044,0,0.0001,0.0433,0.0017,4.2692,0.0002,0.0571
3,79,51.4039,1440,21275,11644,1,0,4.8144,0.0031,0,0.0001,0.0287,0.0016,4.0764,0,0.0487
3,80,52.8524,1440,21275,11786,1,0,4.4403,0.0025,0,0,0.0252,0.0013,3.9559,0,0.0482
3,81,54.1964,1440,21275,11928,1,0,4.521,0.0023,0,0,0.025,0.0011,4.0417,0,0.0482
3,82,55.424,1440,21275,12070,1,0,4.7108,0.0023,0,0,0.0239,0.0011,4.0172,0,0.0482
3,83,56.5243,1440,21275,12212,1,0,5.614,0.0025,0,0,0.0244,0.001,4.8265,0.0003,0.0695
3,84,57.4875,1440,21275,12354,1,0,4.7488,0.0038,0,0,0.0316,0.0017,3.9948,0.0001,0.0528
3,85,58.3045,1440,21275,12496,1,0,5.0711,0.0026,0,0,0.0264,0.0015,4.3096,0.0002,0.0615
3,86,58.9677,1440,21275,12638,1,0,4.7569,0.0036,0,0,0.028,0.0017,4.0067,0.0001,0.0574
3,87,59.4707,1440,21275,12780,1,0,4.5956,0.0029,0,0.0001,0.0264,0.0016,4.0864,0,0.0494
3,88,59.8088,1440,21275,12922,1,0,4.4329,0.0026,0,0,0.0254,0.0011,3.933,0,0.0483
3,89,59.9787,1440,21275,13064,1,0,5.6554,0.0024,0,0.0001,0.0246,0.001,4.4384,0.0002,0.087
3,90,59.9787,1440,21275,13206,1,0,6.414,0.0057,0,0,0.044,0.0026,5.6363,0.0001,0.0569
3,91,59.8088,1440,21275,13348,1,0,4.5129,0.004,0,0,0.0284,0.0018,4.0145,0,0.0488
3,92,59.4707,1440,21275,13490,1,0,4.9071,0.0024,0,0,0.0242,0.0011,4.0279,0.0002,0.0569
3,93,58.9677,1440,21275,13632,1,0,4.8515,0.0045,0,0.0001,0.037,0.0021,4.0571,0.0001,0.0604
3,94,58.3045,1440,21275,13774,1,0,4.5552,0.0031,0,0,0.0287,0.0018,4.0298,0.0001,0.0562
3,95,57.4875,1440,21275,13916,1,0,4.8011,0.0026,0,0.0001,0.026,0.0014,4.0644,0.0002,0.052
3,96,56.5243,1440,21275,14058,1,0,5.2082,0.0033,0,0,0.0295,0.0014,4.4382,0.0001,0.0602
3,97,55.424,1440,21275,14200,1,0,4.7512,0.0032,0,0.0001,0.0306,0.0017,3.9964,0,0.0545
3,98,54.1964,1440,21275,14342,1,0,4.7193,0.0025,0,0.0001,0.0272,0.0013,3.9815,0,0.0509
3,99,52.8524,1440,21275,14484,1,0,4.7294,0.0025,0,0,0.0271,0.0011,4.1229,0.0002,0.0798
3,100,51.4039,1440,21275,14626,1,0,4.8935,0.0026,0,0.0001,0.0278,0.0015,3.9474,0,0.0537
3,101,49.8629,1440,21275,14768,1,0,4.887,0.0027,0,0,0.0266,0.0014,4.0757,0.0001,0.0807
3,102,48.2421,1440,21275,14910,1,0,4.9493,0.0034,0,0.0001,0.0372,0.0018,4.2135,0.0001,0.0556
3,103,46.5543,1440,21275,15052,1,0,4.7343,0.0026,0,0,0.0302,0.0014,3.975,0,0.0551
3,104,44.8122,1440,21275,15194,1,0,4.7746,0.0031,0,0,0.0319,0.0014,4.0408,0,0.0506
3,105,43.0287,1440,21275,15336,1,0,4.7979,0.0023,0,0,0.0309,0.0015,4.0607,0.0001,0.0571
3,106,41.2159,1440,21275,15478,1,0,4.9145,0.0027,0,0.0001,0.0317,0.0013,4.3288,0.0002,0.08
3,107,39.3859,1440,21275,15620,1,0,4.9635,0.0029,0,0,0.0358,0.0017,4.1596,0.0001,0.0816
3,108,37.55,1440,21275,15762,1,0,5.1909,0.0033,0,0,0.0332,0.0025,4.4211,0.0001,0.058
3,109,35.7189,1440,21275,15904,1,0,4.5579,0.0028,0,0,0.0329,0.0025,4.0043,0,0.0536
3,110,33.9025,1440,21275,16046,1,0,4.8139,0.003,0,0,0.0435,0.0021,4.0098,0.0002,0.0629
3,111,32.1099,1440,21275,16188,1,0,4.8071,0.003,0,0,0.0397,0.0025,4.0204,0,0.0558
3,112,30.3493,1440,21275,16330,1,0,4.8064,0.0026,0,0,0.0382,0.0018,4.0503,0,0.0519
3,113,28.628,1440,21275,16472,1,0,4.8151,0.0026,0,0.0001,0.0442,0.0015,4.037,0.0001,0.0558
3,114,26.9524,1440,21275,16614,1,0,4.7888,0.0026,0,0,0.0452,0.0025,4.0233,0.0001,0.0553
3,115,25.3279,1440,21275,16756,1,0,4.8054,0.0025,0,0.0001,0.0488,0.0016,4.0545,0.0001,0.0529
3,116,23.7592,1440,21275,16898,1,0,4.5618,0.0024,0,0,0.0465,0.0031,4.0197,0,0.0512
3,117,22.2498,1440,21275,17040,1,0,5.3442,0.0027,0,0,0.0518,0.0018,4.3391,0.0001,0.1249
3,118,20.8028,1440,21275,17182,1,0,6.1377,0.0035,0,0,0.0769,0.0027,4.7341,0.0001,0.0903
3,119,19.42,1440,21275,17324,1,0,4.6637,0.0034,0,0,0.0618,0.0038,4.0444,0,0.0928
3,120,18.103,1440,21275,17466,1,0,5.1212,0.0027,0,0,0.0671,0.0022,4.0718,0.0001,0.0929
3,121,16.8523,1440,21275,17608,1,0,4.6217,0.0025,0,0.0001,0.0704,0.0037,4.0246,0,0.0855
3,122,15.6681,1440,21275,17750,1,0,4.8219,0.0023,0,0,0.0724,0.0027,4.0098,0.0001,0.0848
3,123,14.5499,1440,21275,17892,1,0,4.9131,0.0024,0,0.0001,0.0798,0.0044,4.0631,0.0001,0.0961
3,124,13.4968,1440,21275,18034,1,0,4.5426,0.0026,0,0,0.0884,0.0036,3.9391,0.0001,0.0852
3,125,12.5074,1440,21275,18176,1,0,4.8044,0.0023,0,0,0.0931,0.0046,3.9655,0,0.086
3,126,11.58,1440,21275,18318,1,0,5.0075,0.0036,0,0,0.112,0.0073,4.0837,0.0001,0.0912
3,127,10.7127,1440,21275,18460,1,0,4.6074,0.003,0,0,0.1189,0.0073,3.9426,0,0.0899
3,128,9.90332,1440,21275,18602,1,0,4.7985,0.0024,0,0,0.1329,0.0076,4.0842,0.0001,0.1231
3,129,9.14942,1440,21275,18744,1,0,4.9573,0.0023,0,0.0001,0.144,0.0106,4.0188,0,0.122
3,130,8.44851,1440,21275,18886,1,0,5.1247,0.0025,0,0.0001,0.163,0.0086,4.083,0.0001,0.1674
